Device,DeviceDatetime,ActualHumidity,ActualTemp,Controller,DeviceTimestamp,DeviceType,Division
AC233FA3D95B,2025-02-26 01:03:08+09:00,37.546875,17.30859375,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 01:03:31+09:00,45.43,14.28,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 01:03:31+09:00,42.99,14.29,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 01:03:32+09:00,39.64,13.32,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 01:03:34+09:00,33.48,20.04,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 01:03:35+09:00,34.15,18.28,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 01:03:37+09:00,33.23,18.12,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 01:03:40+09:00,43.46,13.49,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 01:03:40+09:00,43.61,14.15,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 01:06:02+09:00,34.13671875,18.6796875,Mutsu01,1.7405E+12,Temp,MUTS-Dining
AC233FA3D95B,2025-02-26 01:06:08+09:00,37.55859375,17.30859375,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 01:06:31+09:00,45.4,14.27,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 01:06:31+09:00,42.99,14.28,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 01:06:32+09:00,39.64,13.33,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 01:06:33+09:00,33.49,19.96,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 01:06:35+09:00,34.03,18.28,Mutsu01,1.7405E+12,Temp,MUTS-Dining
